algorithm,dataset,mpi_processes,threads,runs,primary_metric,primary_metric_value,status,benchmark,benchmark_region,input,hosts,num_threads,partition_scheme,total_time,total_time_exec,compute_time,sync_time,barrier_time,sync_bytes,graph_construct_time,replication_factor,comm_mem_max,comm_mem_min,inspect_bytes,load_bytes,load_messages,peak_load_bytes,replication_nodes,replication_edges,total_node_proxies,total_edge_proxies,edge_inspection_time,edge_loading_time
Triangle Counting,web-Google,1,2,10,total_time_exec,4108.4,ok,triangle-counting-dist,TC,web-Google,1,1,oec,45668.0,4095.4,4095.4,0.0,0,0,4478.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,916421.0,5105046.0,2123,2198
Triangle Counting,web-Google,2,2,10,total_time_exec,4962.5,ok,triangle-counting-dist,TC,web-Google,2,1,oec,56442.0,4955.5,4952.5,0.0,0,0,6567.0,0.0,0,0,7331457.0,23495222.0,4.0,8388671.0,1.33,1.46,1222010.0,7457701.0,2531,3840
Triangle Counting,web-Google,4,2,10,total_time_exec,4878.5,ok,triangle-counting-dist,TC,web-Google,4,1,oec,60184.0,4871.5,4854.4,0.0,0,0,11031.0,0.0,0,0,21994416.0,55301238.0,12.0,5483114.0,1.79,2.08,1642148.0,10643124.0,3774,6800
Triangle Counting,web-Google,6,2,10,total_time_exec,4923.1,ok,triangle-counting-dist,TC,web-Google,6,1,oec,62793.0,4930.1,4822.9,0.0,0,0,13328.0,0.0,0,0,36657484.0,76901967.0,30.0,3169521.0,2.11,2.51,1936877.0,12797616.0,4675,8124
Triangle Counting,web-Google,8,2,10,total_time_exec,4977.3,ok,triangle-counting-dist,TC,web-Google,8,1,oec,67438.0,4963.3,4908.3,0.0,0,0,17394.0,0.0,0,0,51320637.0,93167343.0,56.0,2069000.0,2.36,2.82,2164747.0,14413150.0,6632,9941
