algorithm,dataset,mpi_processes,threads,runs,primary_metric,primary_metric_value,status,benchmark,benchmark_region,input,hosts,num_threads,partition_scheme,total_time,total_time_exec,compute_time,sync_time,barrier_time,sync_bytes,graph_construct_time,replication_factor,comm_mem_max,comm_mem_min,inspect_bytes,load_bytes,load_messages,peak_load_bytes,replication_nodes,replication_edges,total_node_proxies,total_edge_proxies,edge_inspection_time,edge_loading_time
Triangle Counting,wiki-talk-temporal,1,2,10,total_time_exec,17069.1,ok,triangle-counting-dist,TC,wiki-talk-temporal-clean,1,1,oec,172638.0,17066.1,17066.1,0.0,0,0,1792.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1140147.0,3130752.0,1001,627
Triangle Counting,wiki-talk-temporal,2,2,10,total_time_exec,22878.2,ok,triangle-counting-dist,TC,wiki-talk-temporal-clean,2,1,oec,231836.0,22863.2,22867.2,0.0,0,0,3013.0,0.0,0,0,9121214.0,7085946.0,2.0,4901079.0,1.01,1.27,1154748.0,3987290.0,1841,1026
Triangle Counting,wiki-talk-temporal,4,2,10,total_time_exec,10121.1,ok,triangle-counting-dist,TC,wiki-talk-temporal-clean,4,1,oec,103253.0,10122.1,10107.5,0.0,0,0,1991.0,0.0,0,0,27363720.0,19728972.0,12.0,3510634.0,1.04,1.76,1186851.0,5503614.0,1151,731
Triangle Counting,wiki-talk-temporal,6,2,10,total_time_exec,10702.8,ok,triangle-counting-dist,TC,wiki-talk-temporal-clean,6,1,oec,109146.0,10715.8,10606.0,0.0,0,0,2393.0,0.0,0,0,45606328.0,30526531.0,30.0,3083456.0,1.06,2.18,1208720.0,6809701.0,1230,849
Triangle Counting,wiki-talk-temporal,8,2,10,total_time_exec,10967.6,ok,triangle-counting-dist,TC,wiki-talk-temporal-clean,8,1,oec,112155.0,10954.6,10891.1,0.0,0,0,3011.0,0.0,0,0,63849011.0,40202963.0,56.0,2297849.0,1.08,2.55,1227529.0,7981734.0,1485,1154
